customer_id,purchase_date,purchase_value,days_since_last_purchase,days_since_first_purchase,time_period,campaign_exposure,customer_segment,acquisition_channel,demographics
10000,2023-01-10,132.06,9,9,0,0,High-End Luxury,Paid Search,Young Adult
10000,2023-02-07,305.85,28,37,0,0,High-End Luxury,Referral,Middle Age
10000,2023-03-02,117.05,23,60,0,0,High-End Luxury,Referral,Middle Age
10000,2023-03-11,40.38,9,69,0,0,Mid-Luxury,Social Media,Young Adult
10000,2023-04-03,54.4,23,92,1,0,Mid-Luxury,Referral,Middle Age
10000,2023-04-18,99.81,15,107,1,0,Entry-Luxury,Social Media,Middle Age
10000,2023-05-09,225.7,21,128,1,0,High-End Luxury,Paid Search,Middle Age
10000,2023-05-20,39.45,11,139,1,0,High-End Luxury,Referral,Young Adult
10001,2023-01-03,456.4,2,2,0,0,Mid-Luxury,Organic,Young Adult
10001,2023-01-09,471.41,6,8,0,0,Entry-Luxury,Social Media,Young Adult
10001,2023-02-28,124.81,50,58,0,0,Entry-Luxury,Organic,Middle Age
10001,2023-03-09,57.1,9,67,0,0,Mid-Luxury,Organic,Young Adult
10002,2023-03-14,12.81,72,72,0,0,High-End Luxury,Referral,Middle Age
10003,2023-02-01,661.32,31,31,0,0,Entry-Luxury,Paid Search,Middle Age
10003,2023-03-06,87.11,33,64,0,0,High-End Luxury,Paid Search,Senior
10003,2023-03-19,64.04,13,77,0,0,Entry-Luxury,Social Media,Middle Age
10003,2023-03-22,170.01,3,80,0,0,High-End Luxury,Referral,Young Adult
10003,2023-04-28,549.58,37,117,1,0,Mid-Luxury,Social Media,Middle Age
10004,2023-01-02,349.81,1,1,0,0,High-End Luxury,Referral,Young Adult
10004,2023-01-19,275.95,17,18,0,0,Mid-Luxury,Referral,Young Adult
10004,2023-01-28,280.06,9,27,0,0,Mid-Luxury,Organic,Senior
10004,2023-02-18,422.94,21,48,0,0,Mid-Luxury,Organic,Young Adult
10004,2023-03-01,169.2,11,59,0,0,High-End Luxury,Paid Search,Middle Age
10004,2023-03-11,765.36,10,69,0,0,Mid-Luxury,Referral,Young Adult
10004,2023-04-09,159.94,29,98,1,0,Mid-Luxury,Organic,Middle Age
10005,2023-01-22,281.41,21,21,0,0,Mid-Luxury,Organic,Middle Age
10005,2023-03-04,116.89,41,62,0,0,High-End Luxury,Paid Search,Middle Age
10005,2023-03-11,425.68,7,69,0,0,Mid-Luxury,Organic,Young Adult
10005,2023-03-29,544.94,18,87,0,0,Mid-Luxury,Organic,Middle Age
10006,2023-01-03,94.91,2,2,0,0,Mid-Luxury,Organic,Young Adult
10006,2023-01-21,341.71,18,20,0,0,High-End Luxury,Social Media,Young Adult
10006,2023-02-13,36.18,23,43,0,0,High-End Luxury,Social Media,Middle Age
10006,2023-02-18,225.29,5,48,0,0,High-End Luxury,Social Media,Middle Age
10007,2023-01-28,204.87,27,27,0,0,Entry-Luxury,Social Media,Middle Age
10007,2023-05-02,528.47,94,121,1,0,High-End Luxury,Organic,Middle Age
10007,2023-05-08,357.19,6,127,1,0,Mid-Luxury,Organic,Middle Age
10007,2023-05-13,117.43,5,132,1,0,High-End Luxury,Paid Search,Young Adult
10008,2023-02-10,139.68,40,40,0,0,Mid-Luxury,Paid Search,Young Adult
10008,2023-03-18,171.94,36,76,0,0,Entry-Luxury,Referral,Senior
10008,2023-04-03,74.3,16,92,1,0,Mid-Luxury,Referral,Middle Age
10008,2023-05-17,337.12,44,136,1,0,Mid-Luxury,Social Media,Middle Age
10009,2023-03-11,452.08,69,69,0,0,Mid-Luxury,Paid Search,Middle Age
10009,2023-03-25,40.98,14,83,0,0,High-End Luxury,Organic,Senior
10009,2023-04-15,196.53,21,104,1,0,Mid-Luxury,Organic,Middle Age
10009,2023-04-28,84.65,13,117,1,0,Mid-Luxury,Social Media,Middle Age
10010,2023-01-26,12.42,25,25,0,0,High-End Luxury,Social Media,Young Adult
10010,2023-01-28,320.55,2,27,0,0,Mid-Luxury,Social Media,Senior
10010,2023-01-28,26.31,0,27,0,0,High-End Luxury,Paid Search,Young Adult
10011,2023-01-15,128.91,14,14,0,0,High-End Luxury,Paid Search,Young Adult
10011,2023-01-15,728.4,0,14,0,0,Mid-Luxury,Referral,Young Adult
10011,2023-03-15,201.43,59,73,0,0,Mid-Luxury,Organic,Middle Age
10011,2023-04-27,282.98,43,116,1,0,Entry-Luxury,Paid Search,Young Adult
10011,2023-04-30,43.69,3,119,1,0,Mid-Luxury,Referral,Young Adult
10012,2023-01-20,643.09,19,19,0,0,Mid-Luxury,Referral,Middle Age
10012,2023-01-25,70.37,5,24,0,0,Mid-Luxury,Paid Search,Young Adult
10012,2023-01-27,99.43,2,26,0,0,High-End Luxury,Organic,Young Adult
10012,2023-03-05,151.98,37,63,0,0,High-End Luxury,Social Media,Young Adult
10012,2023-05-08,140.85,64,127,1,0,Mid-Luxury,Organic,Young Adult
10013,2023-03-05,146.63,63,63,0,0,Mid-Luxury,Organic,Young Adult
10013,2023-03-08,36.68,3,66,0,0,High-End Luxury,Organic,Middle Age
10013,2023-03-09,57.77,1,67,0,0,High-End Luxury,Social Media,Young Adult
10013,2023-03-15,290.94,6,73,0,0,Mid-Luxury,Paid Search,Young Adult
10013,2023-04-14,10.39,30,103,1,0,Mid-Luxury,Referral,Middle Age
10013,2023-04-20,21.49,6,109,1,0,High-End Luxury,Referral,Young Adult
10013,2023-04-26,72.13,6,115,1,0,Mid-Luxury,Referral,Young Adult
10014,2023-02-13,167.58,43,43,0,0,Mid-Luxury,Organic,Young Adult
10014,2023-02-20,25.01,7,50,0,0,Mid-Luxury,Referral,Middle Age
10014,2023-02-20,169.78,0,50,0,0,High-End Luxury,Paid Search,Senior
10014,2023-04-22,348.3,61,111,1,0,Mid-Luxury,Paid Search,Young Adult
10014,2023-06-27,107.17,66,177,1,0,High-End Luxury,Paid Search,Middle Age
10015,2023-01-05,2.07,4,4,0,0,High-End Luxury,Paid Search,Middle Age
10015,2023-01-15,338.29,10,14,0,0,High-End Luxury,Referral,Young Adult
10016,2023-04-02,287.24,91,91,1,0,Mid-Luxury,Referral,Middle Age
10016,2023-04-03,556.33,1,92,1,0,High-End Luxury,Organic,Middle Age
10016,2023-05-31,131.79,58,150,1,0,High-End Luxury,Social Media,Young Adult
10016,2023-08-29,278.72,90,240,2,0,High-End Luxury,Social Media,Young Adult
10016,2023-09-11,179.71,13,253,2,0,Entry-Luxury,Referral,Middle Age
10017,2023-01-12,141.76,11,11,0,0,High-End Luxury,Paid Search,Middle Age
10017,2023-02-12,17.79,31,42,0,0,Entry-Luxury,Paid Search,Senior
10018,2023-02-13,122.47,43,43,0,0,Entry-Luxury,Organic,Young Adult
10018,2023-03-18,140.85,33,76,0,0,Mid-Luxury,Organic,Young Adult
10018,2023-03-24,132.34,6,82,0,0,Mid-Luxury,Paid Search,Middle Age
10019,2023-01-28,735.32,27,27,0,0,Mid-Luxury,Organic,Young Adult
10019,2023-02-03,201.52,6,33,0,0,Mid-Luxury,Referral,Senior
10019,2023-03-31,97.78,56,89,0,0,High-End Luxury,Organic,Young Adult
10019,2023-06-08,123.08,69,158,1,0,Mid-Luxury,Paid Search,Middle Age
10020,2023-01-03,13.98,2,2,0,0,Mid-Luxury,Social Media,Young Adult
10020,2023-03-29,119.66,85,87,0,0,High-End Luxury,Social Media,Middle Age
10021,2023-01-08,238.89,7,7,0,0,Entry-Luxury,Organic,Senior
10021,2023-01-25,41.32,17,24,0,0,High-End Luxury,Paid Search,Young Adult
10021,2023-03-06,62.23,40,64,0,0,High-End Luxury,Organic,Young Adult
10022,2023-01-02,34.57,1,1,0,0,High-End Luxury,Organic,Senior
10022,2023-01-24,217.55,22,23,0,0,High-End Luxury,Social Media,Young Adult
10022,2023-02-08,298.55,15,38,0,0,Mid-Luxury,Referral,Young Adult
10022,2023-03-03,964.73,23,61,0,0,Entry-Luxury,Paid Search,Young Adult
10024,2023-01-04,566.02,3,3,0,0,Mid-Luxury,Paid Search,Young Adult
10024,2023-01-17,265.13,13,16,0,0,Mid-Luxury,Referral,Senior
