date,revenue_per_user,number_of_sessions,number_of_signups,avg_order_value,is_weekend,seasonality_index,marketing_spend
2024-01-01,12.17,910,43,47.84,0,1.0,10.81
2024-01-02,12.37,1034,39,52.94,0,1.0,12.44
2024-01-03,12.31,1005,33,50.41,0,1.01,12.13
2024-01-04,12.15,957,43,53.91,0,1.01,13.9
2024-01-05,11.84,1049,47,54.37,0,1.01,9.44
2024-01-06,14.01,1074,36,45.68,1,1.01,11.05
2024-01-07,14.54,945,33,49.22,1,1.01,14.19
2024-01-08,11.61,1074,49,53.8,0,1.01,13.1
2024-01-09,11.74,944,41,49.61,0,1.02,12.22
2024-01-10,12.74,1024,40,54.11,0,1.02,12.94
2024-01-11,12.2,993,33,45.16,0,1.02,10.01
2024-01-12,12.6,914,45,50.48,0,1.02,10.96
2024-01-13,14.87,964,43,47.92,1,1.02,10.3
2024-01-14,14.83,1078,33,47.19,1,1.02,14.48
2024-01-15,12.61,1138,43,49.36,0,1.03,14.98
2024-01-16,12.45,957,30,54.96,0,1.03,14.05
2024-01-17,12.13,971,44,47.68,0,1.03,13.19
2024-01-18,12.64,987,44,53.65,0,1.03,14.21
2024-01-19,12.57,969,44,47.24,0,1.03,9.15
2024-01-20,14.37,1045,33,52.35,1,1.03,11.53
2024-01-21,14.11,1106,35,48.1,1,1.04,12.89
2024-01-22,13.01,891,33,45.55,0,1.04,8.54
2024-01-23,12.57,1029,39,53.85,0,1.04,13.52
2024-01-24,12.22,892,40,50.26,0,1.04,9.26
2024-01-25,12.58,971,41,54.5,0,1.04,10.2
2024-01-26,12.61,989,43,52.12,0,1.04,12.7
2024-01-27,14.78,918,41,47.11,1,1.04,8.98
2024-01-28,15.13,991,44,51.65,1,1.05,12.53
2024-01-29,13.09,976,31,52.44,0,1.05,9.91
2024-01-30,12.44,982,39,53.74,0,1.05,13.3
2024-01-31,12.52,914,38,52.69,0,1.05,11.03
2024-02-01,12.42,1057,39,51.76,0,1.05,14.18
2024-02-02,13.0,928,39,47.27,0,1.05,8.65
2024-02-03,14.72,1007,34,45.43,1,1.06,8.86
2024-02-04,14.91,902,43,47.35,1,1.06,8.07
2024-02-05,13.22,1064,43,48.11,0,1.06,8.12
2024-02-06,12.53,1034,51,49.82,0,1.06,8.08
2024-02-07,12.41,1068,50,49.31,0,1.06,13.7
2024-02-08,12.8,984,35,48.05,0,1.06,11.69
2024-02-09,12.62,990,30,51.53,0,1.06,11.27
2024-02-10,14.91,1088,53,47.3,1,1.06,12.8
2024-02-11,14.83,1138,43,53.3,1,1.07,14.09
2024-02-12,13.2,1028,49,53.63,0,1.07,14.17
2024-02-13,13.15,971,44,53.4,0,1.07,8.81
2024-02-14,13.32,1019,43,45.98,0,1.07,11.5
2024-02-15,12.92,1033,38,52.93,0,1.07,14.57
2024-02-16,13.2,1028,46,52.65,0,1.07,8.15
2024-02-17,15.05,984,39,50.29,1,1.07,9.45
2024-02-18,15.45,980,40,51.38,1,1.07,14.61
2024-02-19,13.32,974,37,53.6,0,1.08,12.73
2024-02-20,13.42,1008,30,45.5,0,1.08,13.68
2024-02-21,12.86,999,36,48.92,0,1.08,10.74
2024-02-22,13.81,1057,37,47.61,0,1.08,11.39
2024-02-23,13.14,1054,35,48.8,0,1.08,13.76
2024-02-24,15.66,1024,41,45.53,1,1.08,9.06
2024-02-25,14.6,978,32,51.86,1,1.08,13.19
2024-02-26,13.27,983,33,54.41,0,1.08,10.72
2024-02-27,13.54,958,33,48.08,0,1.08,11.92
2024-02-28,12.98,934,36,54.06,0,1.08,10.16
2024-02-29,13.17,1032,51,46.64,0,1.09,9.45
2024-03-01,13.44,943,37,46.47,0,1.09,12.81
2024-03-02,16.07,1019,37,50.45,1,1.09,11.3
2024-03-03,15.72,1063,43,47.81,1,1.09,11.72
2024-03-04,13.74,901,38,50.56,0,1.09,9.33
2024-03-05,12.81,925,39,49.04,0,1.09,9.77
2024-03-06,12.8,1064,47,54.02,0,1.09,13.53
2024-03-07,13.33,1066,41,46.36,0,1.09,9.95
2024-03-08,13.77,992,49,48.89,0,1.09,13.8
2024-03-09,15.69,946,31,52.73,1,1.09,14.06
2024-03-10,15.99,943,29,46.57,1,1.09,8.75
2024-03-11,13.25,935,34,50.46,0,1.09,10.08
2024-03-12,13.23,938,37,52.31,0,1.09,11.65
2024-03-13,13.7,993,32,50.23,0,1.1,9.46
2024-03-14,13.91,990,37,54.03,0,1.1,9.66
2024-03-15,13.86,1070,32,49.44,0,1.1,11.57
2024-03-16,15.76,1041,32,47.5,1,1.1,11.54
2024-03-17,15.78,963,34,48.11,1,1.1,8.48
2024-03-18,13.18,974,45,53.04,0,1.1,8.63
2024-03-19,13.75,1104,51,53.35,0,1.1,14.12
2024-03-20,13.67,902,38,52.21,0,1.1,9.47
2024-03-21,13.65,1107,39,46.36,0,1.1,11.4
2024-03-22,14.11,971,38,49.94,0,1.1,11.27
2024-03-23,16.42,1103,53,52.69,1,1.1,12.16
2024-03-24,16.23,905,28,46.0,1,1.1,9.62
2024-03-25,13.0,1095,38,49.76,0,1.1,13.22
2024-03-26,13.28,1025,31,53.81,0,1.1,10.09
2024-03-27,13.27,1027,33,46.26,0,1.1,9.92
2024-03-28,14.08,1003,33,49.93,0,1.1,13.94
2024-03-29,13.82,979,35,46.63,0,1.1,10.77
2024-03-30,15.32,912,40,53.62,1,1.1,8.66
2024-03-31,16.2,1089,39,46.7,1,1.1,13.15
2024-04-01,13.52,1012,42,45.63,0,1.1,14.63
2024-04-02,13.78,961,41,47.02,0,1.1,12.0
2024-04-03,13.87,1001,41,50.36,0,1.1,16.92
2024-04-04,13.53,1067,32,53.81,0,1.1,13.45
2024-04-05,14.23,948,35,46.03,0,1.1,12.38
2024-04-06,16.64,1071,34,54.97,1,1.1,16.28
2024-04-07,16.19,1067,36,54.57,1,1.1,15.49
2024-04-08,13.99,1103,47,46.02,0,1.1,13.35
2024-04-09,14.37,1085,45,54.12,0,1.1,10.6
2024-04-10,13.64,970,33,54.88,0,1.1,14.79
2024-04-11,13.28,1078,38,54.54,0,1.1,13.14
2024-04-12,14.04,1096,36,48.87,0,1.1,11.76
2024-04-13,16.14,959,36,50.94,1,1.1,10.85
2024-04-14,15.86,1138,37,46.06,1,1.1,16.92
2024-04-15,14.08,1085,50,51.85,0,1.1,10.4
2024-04-16,12.93,998,33,47.16,0,1.1,12.26
2024-04-17,13.56,1137,37,46.46,0,1.1,14.62
2024-04-18,13.68,1033,35,47.9,0,1.1,15.22
2024-04-19,13.62,1122,41,49.15,0,1.09,16.69
2024-04-20,15.52,958,44,48.4,1,1.09,13.07
2024-04-21,15.75,1008,48,50.87,1,1.09,16.87
2024-04-22,14.03,1099,45,45.67,0,1.09,11.88
