日期,明细摘要,打款单位,豪爵车款,配件款,广宣及装修款,转存,其他,累计,付工厂货款,广宣及装修品,公司费用,财务费用,转存、保证金、还敞口,其他,累计,余额
01/07/2025,上月结存,,,,,,,,,,,,,,,"13,285,011.25"
01/07/2025,利息收入,,,,,,16250,"16,250.00",,,,,,,-,"13,301,261.25"
01/07/2025,付江门豪爵成车款,,,,,,,"16,250.00",3000000,,,,,,"3,000,000.00","10,301,261.25"
01/07/2025,付常州豪爵成车款,,,,,,,"16,250.00",7000000,,,,,,"10,000,000.00","3,301,261.25"
01/07/2025,货款收取,威信县鑫茂摩托车销售店,291413,,,,,"307,663.00",,,,,,,"10,000,000.00","3,592,674.25"
02/07/2025,货款收取,临翔区博尚镇阿强车行,24260,,,,,"331,923.00",,,,,,,"10,000,000.00","3,616,934.25"
02/07/2025,付常州豪爵配件款,,,,,,,"331,923.00",299543.26,,,,,,"10,299,543.26","3,317,390.99"
03/07/2025,货款收取,团购广宣品款,,,16307.45,,,"348,230.45",,,,,,,"10,299,543.26","3,333,698.44"
04/07/2025,转存工行宜良支行,,,,,,,"348,230.45",,,,,62940,,"10,362,483.26","3,270,758.44"
04/07/2025,付昆明煤气（集团）控股有限公司6月七甸老厂燃气费,,,,,,,"348,230.45",,,317.7,,,,"10,362,800.96","3,270,440.74"
05/07/2025,货款收取,河口县桥头乡泉佳摩托车行,35140,,,,,"383,370.45",,,,,,,"10,362,800.96","3,305,580.74"
07/07/2025,货款收取,富宁腾顺商贸有限责任公司,135000,,,,,"518,370.45",,,,,,,"10,362,800.96","3,440,580.74"
07/07/2025,付昆明市世佳副食有限责任公司购会议酒水费,,,,,,,"518,370.45",,,7800,,,,"10,370,600.96","3,432,780.74"
07/07/2025,付云南易速达物流有限公司5月配件快递费,,,,,,,"518,370.45",,,17537.5,,,,"10,388,138.46","3,415,243.24"
07/07/2025,付重庆竣南物流江门至孟连特区摩托车运费,,,,,,,"518,370.45",,,,,,66600,"10,454,738.46","3,348,643.24"
07/07/2025,付官渡区绘森空间设计工作室老挝广告物料费,,,,,,,"518,370.45",,,50367,,,,"10,505,105.46","3,298,276.24"
07/07/2025,付重庆函倪科技有限公司管道检测费,,,,,,,"518,370.45",,,3500,,,,"10,508,605.46","3,294,776.24"
07/07/2025,货款收取,景东彝族自治县周进经贸有限公司,190000,,,,,"708,370.45",,,,,,,"10,508,605.46","3,484,776.24"
07/07/2025,货款收取,河口县桥头乡泉佳摩托车行,16930,,,,,"725,300.45",,,,,,,"10,508,605.46","3,501,706.24"
07/07/2025,货款收取,昆明豪骑摩托车经营有限公司,38280,,,,,"763,580.45",,,,,,,"10,508,605.46","3,539,986.24"
08/07/2025,转存工行宜良支行,,,,,,,"763,580.45",,,,,1323130,,"11,831,735.46","2,216,856.24"
08/07/2025,转存工行宜良支行,,,,,,,"763,580.45",,,,,126230,,"11,957,965.46","2,090,626.24"
08/07/2025,转存工行宜良支行,,,,,,,"763,580.45",,,,,734970,,"12,692,935.46","1,355,656.24"
08/07/2025,转存工行宜良支行,,,,,,,"763,580.45",,,,,94155,,"12,787,090.46","1,261,501.24"
08/07/2025,转存工行宜良支行,,,,,,,"763,580.45",,,,,351224.82,,"13,138,315.28","910,276.42"
08/07/2025,转存工行宜良支行,,,,,,,"763,580.45",,,,,3010,,"13,141,325.28","907,266.42"
08/07/2025,付昆明粤海水务有限公司老厂、新厂6月水费,,,,,,,"763,580.45",,,2680.15,,,,"13,144,005.43","904,586.27"
08/07/2025,通信费-移动,,,,,,,"763,580.45",,,584.3,,,,"13,144,589.73","904,001.97"
09/07/2025,货款收取,景洪益顺祥车行店(个人独资),87670,,,,,"851,250.45",,,,,,,"13,144,589.73","991,671.97"
09/07/2025,货款收取,河口县桥头乡泉佳摩托车行,15640,,,,,"866,890.45",,,,,,,"13,144,589.73","1,007,311.97"
